-2- (🌱 0, 🍀 1, 📋 0)
-3- (🌱 0, 🍀 1, 📋 0)
Alamo Flamer (🌱 0, 🍀 1, 📋 0)
Alamo Frills (🌱 0, 🍀 1, 📋 0)
Ancient Lace (🌱 0, 🍀 1, 📋 0)
Arctic Frost (т) (🌱 1, 🍀 0, 📋 0)
Arcturus (🌱 0, 🍀 1, 📋 0)
Blue Scoundrel (🌱 1, 🍀 0, 📋 0)
Bold Party Girld (🌱 1, 🍀 0, 📋 0)
Buckeye Ballerina (🌱 2, 🍀 0, 📋 1)
Buckeye Irish Lace (🌱 1, 🍀 0, 📋 0)
Buckeye Magic Touch (🌱 0, 🍀 1, 📋 0)
Buckeye Sorcerer (🌱 1, 🍀 0, 📋 0)
Cajun's Fascinating Fury (🌱 0, 🍀 1, 📋 0)
DN - Bora-Bora (🌱 1, 🍀 0, 📋 0)
DN - Бронзовый Век (🌱 0, 🍀 1, 📋 0)
DN - Зоряне сяйво (🌱 0, 🍀 1, 📋 0)
DN - Кира (🌱 1, 🍀 0, 📋 0)
DN - Легкий блюз (🌱 2, 🍀 0, 📋 1)
DN - Магия неба (🌱 1, 🍀 0, 📋 0)
DN - Озарение (🌱 1, 🍀 0, 📋 0)
DN - Персик (🌱 1, 🍀 0, 📋 0)
DN - Чарівна Квітка (🌱 0, 🍀 1, 📋 0)
DN - Юная француженка (🌱 1, 🍀 0, 📋 0)
DS - Жасмин (🌱 1, 🍀 0, 📋 0)
DS - Изабель (🌱 1, 🍀 0, 📋 0)
DS - Лавандовая сказка (🌱 1, 🍀 0, 📋 0)
DS - Новый день (🌱 0, 🍀 1, 📋 0)
DS - Пинка (с листа) (🌱 1, 🍀 0, 📋 0)
Emerald Lace (🌱 1, 🍀 0, 📋 0)
Emergency (🌱 1, 🍀 0, 📋 0)
Enchanted Pink (🌱 1, 🍀 0, 📋 0)
Firehouse (🌱 1, 🍀 0, 📋 0)
Fredette's Rizen Star (🌱 1, 🍀 0, 📋 0)
