Bubble Gum Charm (🌱 2, 🍀 0, 📋 0),
Crimson Ice (🌱 2, 🍀 0, 📋 0),
DS - Изюм (🌱 3, 🍀 0, 📋 0),
DS - Пинка (химера) (🌱 2, 🍀 0, 📋 0),
DS - Сияющий Колокольчик Pink (🌱 3, 🍀 0, 📋 0),
DS - Состояние влюбленности (🌱 2, 🍀 1, 📋 0),
Elizabeth (🌱 2, 🍀 0, 📋 0),
Fay's Rachel (🌱 1, 🍀 1, 📋 0),
Green Horizon (🌱 23, 🍀 0, 📋 1),
Halo's Aglitter (🌱 2, 🍀 0, 📋 0),
Inner Strength (🌱 3, 🍀 0, 📋 0),
KZ - Золотые шары (🌱 3, 🍀 0, 📋 0),
King Ransom (🌱 2, 🍀 1, 📋 0),
Leo - Halina (🌱 2, 🍀 0, 📋 0),
Leo - Halina (с листа) (🌱 2, 🍀 0, 📋 0),
Lyon's Crown Jewel (🌱 9, 🍀 0, 📋 0),
Lyon's Pirate's Treasure (🌱 2, 🍀 0, 📋 0),
Lyon's Zoe (🌱 1, 🍀 1, 📋 0),
Ma's Glass Slipper (🌱 1, 🍀 1, 📋 0),
Ma's Prince Froggie (🌱 3, 🍀 0, 📋 0),
Moonlit Snow (🌱 3, 🍀 0, 📋 1),
Ness Jesse (🌱 3, 🍀 0, 📋 0),
Ness Snow Cloudy (🌱 1, 🍀 1, 📋 0),
Opera's Renee (🌱 10, 🍀 3, 📋 0),
Optimara Chagall (🌱 1, 🍀 1, 📋 0),
Optimara Kanzas (🌱 6, 🍀 1, 📋 0),
Optimara Little Aztec (🌱 2, 🍀 0, 📋 0),
Optimara myDesire (🌱 3, 🍀 1, 📋 0),
Party Cloudy (🌱 6, 🍀 0, 📋 0),
Party Parasol (🌱 3, 🍀 1, 📋 0),
Pirate's Gold (🌱 2, 🍀 0, 📋 0),
Powder Keg (🌱 3, 🍀 1, 📋 0),
Precious Red (мини) (🌱 3, 🍀 0, 📋 0),
Rain Man (🌱 1, 🍀 1, 📋 0),
Rhapsodie Clementine (🌱 10, 🍀 1, 📋 0),
Rhapsodie Cora (🌱 2, 🍀 0, 📋 0),
Rum Punch (🌱 5, 🍀 0, 📋 0),
Scandal (🌱 1, 🍀 1, 📋 0),
Silverglade Meadows (🌱 2, 🍀 0, 📋 0),
Spanish Dancer (🌱 1, 🍀 1, 📋 0),
Strawberry Fields (🌱 3, 🍀 0, 📋 0),
Suncoast Circus Candy (🌱 2, 🍀 3, 📋 0),
TV - Жемчужина Нила (🌱 3, 🍀 1, 📋 2),
Ward Brown (🌱 4, 🍀 0, 📋 0),
Yukako (🌱 4, 🍀 0, 📋 0),
АВ - 747-70 (🌱 5, 🍀 1, 📋 1),
АВ - Алекс (🌱 2, 🍀 0, 📋 0),
АВ - Антидепрессант (🌱 4, 🍀 0, 📋 0),
АВ - Бандерас (🌱 4, 🍀 0, 📋 0),
АВ - Владимир Высоцкий (🌱 16, 🍀 0, 📋 1),
АВ - Жених (🌱 2, 🍀 0, 📋 0),
АВ - Кардамон (🌱 2, 🍀 0, 📋 0),
АВ - Кринолин (🌱 2, 🍀 1, 📋 0),
АВ - Любимая Игрушка (🌱 5, 🍀 0, 📋 1),
АВ - Мальва (🌱 6, 🍀 0, 📋 1),
АВ - Наполеон (🌱 8, 🍀 0, 📋 1),
АВ - Наташа Ростова (🌱 9, 🍀 1, 📋 7),
АВ - Ольга (🌱 3, 🍀 0, 📋 1),
АВ - Прелестница (🌱 3, 🍀 1, 📋 1),
АВ - Русская матрёшка (🌱 1, 🍀 1, 📋 0),
АВ - Самурай (🌱 4, 🍀 0, 📋 1),
АВ - Снежная королева (🌱 3, 🍀 1, 📋 0),
АВ - Тепло на душе (🌱 2, 🍀 0, 📋 0),
АЕ - Егорка-молодец (🌱 2, 🍀 0, 📋 0),
АЕ - Зеркало судьбы (🌱 10, 🍀 0, 📋 2),
Ален - Purpur Magic (🌱 1, 🍀 1, 📋 0),
Ален - Безоблачное небо (🌱 10, 🍀 2, 📋 0),
Ален - Зевс (🌱 2, 🍀 0, 📋 0),
Ален - Нічна троянда (люкс) (🌱 1, 🍀 1, 📋 0),
Ален - Самоцветы (🌱 1, 🍀 2, 📋 0),
Безымяшка (🌱 22, 🍀 16, 📋 0),
Безымяшка (сырок) (🌱 3, 🍀 0, 📋 0),
ВВ - Атлантида (🌱 2, 🍀 0, 📋 0),
ВаТ - Агат Розовый (🌱 3, 🍀 1, 📋 0),
ВаТ - Звездочёт (🌱 1, 🍀 1, 📋 0),
ВаТ - Утро (🌱 2, 🍀 1, 📋 0),
Гранатовый браслет (Макуни) (🌱 2, 🍀 0, 📋 0),
Гриня (Дадоян) (🌱 1, 🍀 1, 📋 0),
ЕК - Афина Паллада (🌱 2, 🍀 0, 📋 0),
ЕК - Бархатцы (🌱 2, 🍀 0, 📋 0),
ЕК - Белая Королева (🌱 1, 🍀 1, 📋 0),
ЕК - Весна смеётся (🌱 1, 🍀 1, 📋 0),
ЕК - Голубая лагуна (🌱 9, 🍀 0, 📋 1),
ЕК - Дворец Султана (🌱 5, 🍀 1, 📋 1),
ЕК - Девочка-Припевочка (🌱 3, 🍀 1, 📋 0),
ЕК - День Победы (🌱 2, 🍀 1, 📋 0),
ЕК - Дыхание грозы (🌱 3, 🍀 0, 📋 0),
ЕК - Зелёные узелки (🌱 2, 🍀 0, 📋 0),
ЕК - Зимнее чудо (🌱 5, 🍀 0, 📋 0),
ЕК - Кумпарсита (🌱 1, 🍀 1, 📋 0),
ЕК - Кураж (🌱 1, 🍀 1, 📋 0),
ЕК - Лесная ежевика (🌱 3, 🍀 0, 📋 0),
ЕК - Мармеладные ромашки (🌱 6, 🍀 0, 📋 0),
ЕК - Небесная лазурь (🌱 1, 🍀 2, 📋 0),
ЕК - Океан (🌱 2, 🍀 1, 📋 0),
ЕК - Перуанская лилия (🌱 2, 🍀 1, 📋 1),
ЕК - Песня жаворонка (🌱 6, 🍀 0, 📋 0),
ЕК - Портрет незнакомки (🌱 9, 🍀 0, 📋 0),
ЕК - Расплетало Лето Косы (🌱 2, 🍀 1, 📋 0),
ЕК - Роза Арктики (🌱 4, 🍀 0, 📋 0),
ЕК - Розовая Эшшольция (🌱 8, 🍀 0, 📋 1),
ЕК - Розовая гирлянда (🌱 2, 🍀 1, 📋 0),
ЕК - Розовый далматинец (🌱 1, 🍀 1, 📋 0),
ЕК - Розовый мрамор (🌱 2, 🍀 0, 📋 0),
ЕК - Русская красавица (🌱 2, 🍀 0, 📋 0),
ЕК - Светская львица (🌱 5, 🍀 0, 📋 0),
ЕК - Синеглазый король (🌱 3, 🍀 1, 📋 0),
ЕК - Скарабей (🌱 5, 🍀 0, 📋 1),
ЕК - Снежные лилии (🌱 1, 🍀 1, 📋 0),
ЕК - Танец журавля (🌱 2, 🍀 0, 📋 0),
ЕК - Черная жемчужина (🌱 3, 🍀 0, 📋 0),
ЕК - Шаман (🌱 2, 🍀 0, 📋 0),
ЕК - Шармэль (🌱 1, 🍀 1, 📋 0),
ЕК - Шахиня (🌱 2, 🍀 3, 📋 0),
ЕК - Экзотика (🌱 1, 🍀 1, 📋 0),
ЕК - Эндорфин (🌱 1, 🍀 1, 📋 0),
ЕК - Юная колдунья (🌱 3, 🍀 0, 📋 0),
Краешек Рассвета (🌱 1, 🍀 1, 📋 0),
ЛЕ - Акапулько (🌱 1, 🍀 1, 📋 0),
ЛЕ - Английская роза (🌱 2, 🍀 0, 📋 0),
ЛЕ - Арлекин (🌱 9, 🍀 0, 📋 0),
ЛЕ - Берилловый иней (🌱 1, 🍀 1, 📋 0),
ЛЕ - Взбитые сливки (спорт) (🌱 2, 🍀 1, 📋 0),
ЛЕ - Владимир (🌱 3, 🍀 0, 📋 1),
ЛЕ - Галатея (🌱 1, 🍀 1, 📋 0),
ЛЕ - Дежавю (🌱 1, 🍀 1, 📋 0),
ЛЕ - Есения (🌱 3, 🍀 0, 📋 1),
ЛЕ - Злато Скифов (🌱 4, 🍀 0, 📋 2),
ЛЕ - Испанский танец (🌱 1, 🍀 1, 📋 0),
ЛЕ - Клеопатра (🌱 1, 🍀 1, 📋 0),
ЛЕ - Коко Шанель (🌱 2, 🍀 0, 📋 0),
ЛЕ - Корсика (🌱 4, 🍀 1, 📋 2),
ЛЕ - Лето Красное (🌱 2, 🍀 1, 📋 0),
ЛЕ - Лилианна (🌱 2, 🍀 2, 📋 2),
ЛЕ - Лунная Радуга (🌱 2, 🍀 0, 📋 0),
ЛЕ - Малахитовая роза (🌱 7, 🍀 1, 📋 0),
ЛЕ - Малена (🌱 5, 🍀 0, 📋 0),
ЛЕ - Марфа (🌱 2, 🍀 0, 📋 0),
ЛЕ - Марципановая роза (🌱 1, 🍀 2, 📋 1),
ЛЕ - Мери Кей (🌱 2, 🍀 1, 📋 0),
ЛЕ - Мохито (спорт) (🌱 3, 🍀 0, 📋 0),
ЛЕ - Ника (🌱 3, 🍀 0, 📋 0),
